accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
66.7,0,37.509676,127.109728,0.00,1700114006000,START,WALK,5,
66.7,0,37.509754,127.109579,0.00,1700114012000,STOP,WALK,5,
24.5,0,37.509550,127.109577,1.13,1700114074000,NORMAL,WALK,4,
24.5,0,37.509569,127.109547,0.67,1700114075000,STOP,WALK,4,
24.4,0,37.509548,127.109567,1.33,1700114090000,NORMAL,WALK,4,
24.4,0,37.509551,127.109585,0.19,1700114091000,STOP,WALK,4,
24.3,0,37.509292,127.109948,4.77,1700114127000,NORMAL,WALK,4,
24.3,0,37.509304,127.109912,2.59,1700114128000,NORMAL,WALK,4,
24.3,0,37.509345,127.109847,0.28,1700114129000,STOP,WALK,4,
24.0,0,37.509341,127.109881,1.56,1700114165000,NORMAL,STATION,0,
24.1,0,37.509371,127.109887,1.19,1700114166000,NORMAL,STATION,0,
24.2,0,37.509406,127.109862,0.06,1700114167000,STOP,STATION,0,
24.3,0,37.509683,127.109921,1.02,1700114288000,NORMAL,WALK,9,
24.3,0,37.509698,127.109943,1.14,1700114289000,NORMAL,WALK,9,
24.3,0,37.509704,127.109949,0.97,1700114290000,STOP,WALK,9,
24.3,0,37.509721,127.109965,1.09,1700114292000,NORMAL,WALK,9,
24.3,0,37.509743,127.109974,1.25,1700114293000,NORMAL,WALK,9,
24.3,0,37.509751,127.109975,0.86,1700114294000,STOP,WALK,9,
24.3,0,37.509751,127.109975,0.86,1700114707335,END,,0,
