accuracy,id,lat,lng,speed,time,type,state,stepCount
7.325000,0,37.444033,127.178291,0.308007,1700199619828,START,WALK,0
7.197000,0,37.443940,127.178429,0.222300,1700199628350,NORMAL,WALK,15
8.000000,0,37.443997,127.178527,0.388421,1700199637246,NORMAL,WALK,14
5.865000,0,37.443952,127.178660,0.435152,1700199646448,NORMAL,WALK,14
5.048000,0,37.443761,127.178638,0.264791,1700199655914,NORMAL,WALK,10
8.844000,0,37.443711,127.178635,0.598647,1700199670948,NORMAL,WALK,7
10.271000,0,37.443505,127.178769,0.299264,1700199681782,NORMAL,WALK,0
6.811000,0,37.443532,127.178735,0.191282,1700199700919,NORMAL,WALK,0
8.333000,0,37.443548,127.178738,0.148635,1700199711907,NORMAL,WALK,0
9.586000,0,37.443543,127.178750,0.383107,1700199722018,NORMAL,WALK,0
8.156000,0,37.443552,127.178746,0.129336,1700199732924,NORMAL,WALK,0
7.197000,0,37.443575,127.178716,0.322397,1700199743959,NORMAL,WALK,0
5.732000,0,37.443596,127.178685,0.412210,1700199754956,NORMAL,WALK,0
9.351000,0,37.443624,127.178659,0.233394,1700199768910,NORMAL,WALK,0
8.302000,0,37.443622,127.178658,0.022625,1700199778891,NORMAL,WALK,0
8.660000,0,37.443623,127.178659,0.246292,1700199789935,NORMAL,WALK,0
8.707000,0,37.443618,127.178662,0.018235,1700199808909,NORMAL,WALK,0
7.442000,0,37.443620,127.178659,0.038065,1700199818909,NORMAL,WALK,0
10.623000,0,37.443625,127.178653,0.101093,1700199829913,NORMAL,WALK,0
10.149000,0,37.443653,127.178671,0.568324,1700199858919,NORMAL,WALK,0
10.567000,0,37.443823,127.178692,1.255011,1700199868948,NORMAL,WALK,0
5.331000,0,37.443812,127.178689,0.015452,1700199878907,NORMAL,WALK,0
7.463000,0,37.443785,127.178691,0.247019,1700199888909,NORMAL,WALK,0
6.807000,0,37.443783,127.178699,0.075809,1700199898908,NORMAL,WALK,0
6.819000,0,37.443783,127.178707,0.069766,1700199908932,NORMAL,WALK,0
12.660000,0,37.443780,127.178712,0.218021,1700199919934,NORMAL,WALK,12
19.216999,0,37.443450,127.179075,0.847858,1700200109105,NORMAL,STATION,0
17.201000,0,37.443507,127.178938,0.567662,1700200126911,NORMAL,STATION,0
16.079000,0,37.443468,127.178873,0.561989,1700200135935,NORMAL,STATION,0
12.445000,0,37.443470,127.178854,0.443604,1700200145922,NORMAL,STATION,0
17.051001,0,37.443476,127.178887,0.769942,1700200155926,NORMAL,STATION,0
17.747999,0,37.443394,127.178887,0.289528,1700200166920,NORMAL,STATION,0
14.692000,0,37.443503,127.179110,0.505773,1700200176951,NORMAL,STATION,0
16.941000,0,37.443485,127.179031,0.480358,1700200189198,NORMAL,STATION,0
14.026000,0,37.443449,127.178973,0.499754,1700200199229,NORMAL,STATION,0
18.599001,0,37.443413,127.178886,0.399796,1700200219389,END,STATION,0
