accuracy,id,lat,lng,speed,time,type,state,stepCount
66.5,0,37.530388,126.656461,0.00,1691660202000,START,AUTOMOBILE,56
60.7,0,37.530064,126.656445,0.00,1691660208000,STOP,AUTOMOBILE,56
59.3,0,37.530109,126.656411,4.57,1691660211000,NORMAL,AUTOMOBILE,56
128.3,0,37.530053,126.656802,0.00,1691660219000,STOP,AUTOMOBILE,56
38.6,0,37.529963,126.653828,1.43,1691660241000,NORMAL,AUTOMOBILE,56
24.5,0,37.529971,126.653826,1.43,1691660242000,NORMAL,AUTOMOBILE,56
24.7,0,37.530061,126.653803,0.00,1691660243000,STOP,AUTOMOBILE,56
24.3,0,37.530018,126.653813,1.59,1691660275000,NORMAL,AUTOMOBILE,56
24.3,0,37.530020,126.653773,2.84,1691660276000,NORMAL,AUTOMOBILE,56
24.3,0,37.530025,126.653735,3.10,1691660277000,NORMAL,AUTOMOBILE,56
24.3,0,37.530029,126.653680,3.96,1691660278000,NORMAL,AUTOMOBILE,56
24.3,0,37.530028,126.653607,5.31,1691660279000,NORMAL,AUTOMOBILE,56
24.3,0,37.530031,126.653540,5.69,1691660280000,NORMAL,AUTOMOBILE,56
24.3,0,37.530029,126.653497,5.00,1691660281000,NORMAL,AUTOMOBILE,56
24.3,0,37.530029,126.653457,4.05,1691660282000,NORMAL,AUTOMOBILE,56
24.3,0,37.530040,126.653454,2.34,1691660283000,NORMAL,AUTOMOBILE,56
24.3,0,37.530036,126.653435,1.60,1691660284000,NORMAL,AUTOMOBILE,56
24.3,0,37.530020,126.653435,0.90,1691660285000,STOP,AUTOMOBILE,56
24.3,0,37.530021,126.653412,1.34,1691660286000,NORMAL,AUTOMOBILE,56
24.3,0,37.530024,126.653387,1.64,1691660287000,NORMAL,AUTOMOBILE,56
24.3,0,37.530041,126.653387,0.74,1691660288000,STOP,AUTOMOBILE,56
24.3,0,37.530076,126.653332,1.94,1691660290000,NORMAL,AUTOMOBILE,56
24.3,0,37.530117,126.653314,2.96,1691660291000,NORMAL,AUTOMOBILE,56
24.3,0,37.530182,126.653244,5.67,1691660292000,NORMAL,AUTOMOBILE,56
24.3,0,37.530249,126.653248,5.19,1691660293000,NORMAL,AUTOMOBILE,56
24.3,0,37.530331,126.653194,6.93,1691660294000,NORMAL,AUTOMOBILE,56
24.3,0,37.530440,126.653151,8.76,1691660295000,NORMAL,AUTOMOBILE,56
24.2,0,37.530543,126.653137,9.12,1691660296000,NORMAL,AUTOMOBILE,56
24.2,0,37.530651,126.653325,9.23,1691660297000,NORMAL,AUTOMOBILE,56
24.2,0,37.530759,126.653324,9.15,1691660298000,NORMAL,AUTOMOBILE,56
24.2,0,37.530857,126.653324,9.21,1691660299000,NORMAL,AUTOMOBILE,56
24.2,0,37.530930,126.653323,8.73,1691660300000,NORMAL,AUTOMOBILE,56
24.1,0,37.531022,126.653323,8.81,1691660301000,NORMAL,AUTOMOBILE,56
24.1,0,37.531105,126.653322,8.47,1691660302000,NORMAL,AUTOMOBILE,56
24.1,0,37.531185,126.653322,7.95,1691660303000,NORMAL,AUTOMOBILE,56
24.2,0,37.531235,126.653321,6.47,1691660304000,NORMAL,AUTOMOBILE,56
24.2,0,37.531284,126.653309,6.08,1691660305000,NORMAL,AUTOMOBILE,56
24.2,0,37.531335,126.653308,5.64,1691660306000,NORMAL,AUTOMOBILE,56
24.1,0,37.531381,126.653315,5.55,1691660307000,NORMAL,AUTOMOBILE,56
24.1,0,37.531411,126.653314,4.98,1691660308000,NORMAL,AUTOMOBILE,56
24.1,0,37.531421,126.653326,3.95,1691660309000,NORMAL,AUTOMOBILE,56
24.1,0,37.531425,126.653320,3.10,1691660310000,NORMAL,AUTOMOBILE,56
24.2,0,37.531424,126.653315,2.45,1691660311000,NORMAL,AUTOMOBILE,56
24.2,0,37.531401,126.653319,1.35,1691660312000,NORMAL,AUTOMOBILE,56
24.2,0,37.531379,126.653316,0.28,1691660313000,STOP,AUTOMOBILE,56
24.2,0,37.531425,126.653321,1.11,1691660354000,NORMAL,AUTOMOBILE,56
24.2,0,37.531430,126.653321,0.91,1691660355000,STOP,AUTOMOBILE,56
24.2,0,37.531440,126.653321,1.10,1691660356000,NORMAL,AUTOMOBILE,56
24.2,0,37.531433,126.653321,0.34,1691660357000,STOP,AUTOMOBILE,56
24.3,0,37.531473,126.653302,1.21,1691660363000,NORMAL,AUTOMOBILE,56
24.3,0,37.531500,126.653301,2.13,1691660364000,NORMAL,AUTOMOBILE,56
24.3,0,37.531518,126.653320,1.97,1691660365000,NORMAL,AUTOMOBILE,56
24.3,0,37.531543,126.653302,1.94,1691660366000,NORMAL,AUTOMOBILE,56
24.3,0,37.531572,126.653303,2.07,1691660367000,NORMAL,AUTOMOBILE,56
24.3,0,37.531604,126.653303,2.69,1691660368000,NORMAL,AUTOMOBILE,56
24.3,0,37.531616,126.653303,1.93,1691660369000,NORMAL,AUTOMOBILE,56
24.3,0,37.531627,126.653301,1.71,1691660370000,NORMAL,AUTOMOBILE,56
24.3,0,37.531624,126.653299,1.07,1691660371000,NORMAL,AUTOMOBILE,56
24.3,0,37.531625,126.653320,0.71,1691660372000,STOP,AUTOMOBILE,56
24.3,0,37.531659,126.653320,1.31,1691660383000,NORMAL,AUTOMOBILE,56
24.3,0,37.531690,126.653320,2.01,1691660384000,NORMAL,AUTOMOBILE,56
24.3,0,37.531741,126.653320,3.17,1691660385000,NORMAL,AUTOMOBILE,56
24.3,0,37.531776,126.653319,3.54,1691660386000,NORMAL,AUTOMOBILE,56
24.3,0,37.531817,126.653319,4.32,1691660387000,NORMAL,AUTOMOBILE,56
24.3,0,37.531834,126.653149,4.67,1691660388000,NORMAL,AUTOMOBILE,56
24.3,0,37.531834,126.653078,5.08,1691660389000,NORMAL,AUTOMOBILE,56
24.3,0,37.531822,126.652988,5.96,1691660390000,NORMAL,AUTOMOBILE,56
24.2,0,37.531827,126.652903,6.24,1691660391000,NORMAL,AUTOMOBILE,56
24.3,0,37.531834,126.652823,6.32,1691660392000,NORMAL,AUTOMOBILE,56
24.2,0,37.531834,126.652743,6.09,1691660393000,NORMAL,AUTOMOBILE,56
24.3,0,37.531829,126.652680,5.14,1691660394000,NORMAL,AUTOMOBILE,56
24.3,0,37.531846,126.652651,3.55,1691660395000,NORMAL,AUTOMOBILE,56
24.2,0,37.531849,126.652615,3.40,1691660396000,NORMAL,AUTOMOBILE,56
24.2,0,37.531859,126.652598,2.89,1691660397000,NORMAL,AUTOMOBILE,56
24.2,0,37.531865,126.652574,2.77,1691660398000,NORMAL,AUTOMOBILE,56
24.2,0,37.531869,126.652571,1.89,1691660399000,NORMAL,AUTOMOBILE,56
24.2,0,37.531879,126.652562,1.14,1691660400000,NORMAL,AUTOMOBILE,56
24.2,0,37.531864,126.652564,1.19,1691660401000,NORMAL,AUTOMOBILE,56
24.2,0,37.531864,126.652548,1.30,1691660402000,NORMAL,AUTOMOBILE,56
24.2,0,37.531864,126.652543,1.59,1691660403000,NORMAL,AUTOMOBILE,56
24.2,0,37.531878,126.652552,3.24,1691660404000,NORMAL,AUTOMOBILE,56
24.2,0,37.532058,126.652610,4.07,1691660405000,NORMAL,AUTOMOBILE,56
24.2,0,37.532115,126.652610,4.54,1691660406000,NORMAL,AUTOMOBILE,56
24.2,0,37.532168,126.652611,4.73,1691660407000,NORMAL,AUTOMOBILE,56
24.1,0,37.532208,126.652611,4.46,1691660408000,NORMAL,AUTOMOBILE,56
24.1,0,37.532229,126.652611,3.43,1691660409000,NORMAL,AUTOMOBILE,56
24.0,0,37.532256,126.652611,1.95,1691660410000,NORMAL,AUTOMOBILE,56
24.0,0,37.532295,126.652611,2.30,1691660411000,NORMAL,AUTOMOBILE,56
24.0,0,37.532360,126.652612,3.05,1691660412000,NORMAL,AUTOMOBILE,56
24.0,0,37.532384,126.652557,2.45,1691660413000,NORMAL,AUTOMOBILE,56
24.0,0,37.532419,126.652528,3.08,1691660414000,NORMAL,AUTOMOBILE,56
24.1,0,37.532434,126.652520,2.78,1691660415000,NORMAL,AUTOMOBILE,56
24.1,0,37.532466,126.652497,3.58,1691660416000,NORMAL,AUTOMOBILE,56
24.1,0,37.532405,126.652310,3.52,1691660417000,NORMAL,AUTOMOBILE,56
24.1,0,37.532422,126.652267,3.96,1691660418000,NORMAL,AUTOMOBILE,56
24.1,0,37.532422,126.652185,4.87,1691660419000,NORMAL,AUTOMOBILE,56
24.2,0,37.532390,126.652087,4.60,1691660420000,NORMAL,AUTOMOBILE,56
24.2,0,37.532404,126.652019,4.81,1691660421000,NORMAL,AUTOMOBILE,56
24.2,0,37.532419,126.651950,4.24,1691660422000,NORMAL,AUTOMOBILE,56
24.2,0,37.532431,126.651882,3.76,1691660423000,NORMAL,AUTOMOBILE,56
24.2,0,37.532435,126.651827,3.22,1691660424000,NORMAL,AUTOMOBILE,56
24.2,0,37.532435,126.651799,2.25,1691660425000,NORMAL,AUTOMOBILE,56
24.2,0,37.532438,126.651785,1.32,1691660426000,NORMAL,AUTOMOBILE,56
24.2,0,37.532445,126.651771,1.28,1691660427000,NORMAL,AUTOMOBILE,56
24.2,0,37.532445,126.651763,1.02,1691660428000,NORMAL,AUTOMOBILE,56
24.2,0,37.532437,126.651767,0.40,1691660429000,STOP,AUTOMOBILE,56
